,lat,lng
60762376,-3.8295406,-38.5657062
60866180,,
60765173,,
62000990,-6.7706422,-40.0647953
60332510,,
63860000,,
60711540,,
62748000,,
63605000,,
60431145,-3.7416741,-38.5537396
60420570,-3.7661906,-38.5469154
63480000,,
62670000,,
60312060,,
63119420,,
62300000,,
62200000,,
62800000,,
60711735,,
62016120,-3.6969804,-40.3665177
60811310,,
60410970,,
63500970,,
63101075,,
60835255,,
60349180,,
62770000,,
63606000,,
60130530,,
60861780,,
62748970,,
60430270,,
61604030,,
61695975,,
63500000,,
63290970,,
63180000,,
63119370,,
60863440,,
63540000,,
62880000,,
63970000,,
60420775,,
60710130,-3.7818644,-38.5682897
63035120,,
63260970,,
60873042,,
63500284,,
62655000,,
61626365,,
62685000,,
61950000,,
60191662,-3.7597293,-38.4697708
60310052,-3.7208676,-38.5468443
60534460,-3.7505011,-38.6040555
60182160,-3.7270631,-38.4626766
62030480,-3.4970746,-39.5774935
60731622,,
60534210,-3.7629602,-38.600989
63650000,,
60180300,-3.709416,-38.4694828
61959000,,
63280000,,
60450305,-3.7350088,-38.5551481
60714335,,
62184000,,
60420520,,
60130000,-3.7453569,-38.5221511
63260000,,
62104000,,
60440395,,
62430000,,
60865000,-3.8332798,-38.5072832
62420000,,
60110100,,
60867410,,
61880000,,
60356840,,
61603200,,
60541728,-3.7768808,-38.5868439
62050810,,
63155970,-3.7847257,-38.5227228
62215000,,
62023010,,
60841535,,
60355302,,
60720440,,
60521065,-3.7684496,-38.5892523
60545380,,
60120065,-3.7474692,-38.5216949
63250000,,
60842390,,
62910000,,
63780000,,
62255000,,
63180970,,
60742110,,
60526055,-3.7574993,-38.5814456
60731465,-3.7846042,-38.5960095
60135215,,
63514000,,
60120021,-3.7513849,-38.5108727
61659140,-3.7763065,-38.5072051
61932560,,
65090792,-2.5732338,-44.2658415
61900290,,
60741300,,
61943100,,
63220970,,
63118350,,
60731030,,
62680000,,
62610970,,
60165540,,
62795000,,
60861431,-3.8197964,-38.5427169
60356830,,
60455340,,
62720000,,
60540232,,
60841210,,
60440140,-3.7549141,-38.5748395
60135281,,
63024020,,
60713065,,
62010700,,
60336610,,
60545441,,
60311510,-3.7142232,-38.5542423
60336205,,
63113160,,
60534130,,
60541495,-3.7780301,-38.5979645
62620000,,
63020320,-3.8348061,-38.58119
62920000,,
63520000,,
60450560,,
60430200,,
63010510,,
60850010,-3.7750295,-38.5173862
60731335,,
61605450,,
63140000,,
62460000,,
60525580,-3.7699057,-38.590604
63275000,,
60841220,-3.8229018,-38.4894349
61920210,-16.6897981,-49.259712
63507235,-6.3583992,-39.3120365
63504615,,
62540000,,
60833232,-3.7999566,-38.4693338
62040740,-3.828188,-38.550307
62370000,,
61932540,-3.8567384,-38.5812684
60540215,-3.7939054,-38.6076939
61700000,,
60711545,-3.8076461,-38.5630374
60352820,-3.7101885,-38.5823668
60851100,-3.7665922,-38.513131
60730017,,
63610000,,
61930152,-3.7278956,-38.466891
63510500,,
60320200,-3.7324869,-38.5603573
60731385,-3.8204826,-38.5619378
60763475,-3.8240291,-38.5928812
63909899,-22.4136746,-44.293311162496
60874433,,
60311140,,
60420720,,
60181225,,
63905665,-4.9913727,-39.0238272
60534440,,
60530090,,
60411130,,
60130460,,
60714430,,
62690000,,
63220000,,
60356040,,
60713180,,
60740470,,
63160000,,
63210000,,
63580000,,
61967000,,
60430430,-3.7429983,-38.5539226
60731050,-3.8178124,-38.4324962
60873748,-4.8371111,-37.7771649
60734520,,
62590000,,
61660010,-3.7877977,-38.6454673
63122295,-21.8014307,-48.1729172
62190000,,
62960000,,
62108000,,
60511017,,
60841420,-3.821831,-38.4925501
62580000,,
63100970,-7.3154673,-39.3058123
60120020,-3.7513849,-38.5108727
60325490,-3.8587294,-39.3406221
60750590,-3.8400529,-38.5592941
60175430,,
60731400,-3.8053871,-38.600654
60750480,-3.8273039,-38.5568407
61890000,,
62130000,,
63504612,,
62120000,,
60011110,-3.7310909,-38.5428192
60534400,-3.7459718,-38.5996353
60876310,-3.8456696,-38.5192176
60425565,-3.7442939,-38.5391345
60521092,-3.8395322,-38.5739351
60541015,-3.7790616,-38.6185639
62010380,-3.6903798,-40.3480187
60872409,-3.8494014,-38.4739124
61930142,-3.8390433,-38.5309297
60871165,-3.8411423,-38.4846643
60183000,,
63470000,,
63100615,,
60743670,-3.7933481,-38.5350207
60540200,,
62030090,-23.7086421,-46.5173991
60714215,-3.7841844,-38.5481966
60766005,-3.826614,-38.5774662
60840170,-3.7763065,-38.5072051
60736055,,
60320410,-3.7226831,-38.5607163
60841735,-7.212424,-39.3089997
62880526,-19.7484404,-47.900644
61921140,-3.8578571,-38.4833603
63210970,,
38690000,,
70055900,,
72321301,,
72415614,,
72220263,-15.8401058,-48.1039801
72020160,-15.8486483,-48.0506425
72120580,-15.8026143,-48.0581833
70874070,-15.7404799,-47.888821
72900970,-16.06006805,-47.9810325504278
72305115,,
72301602,,
72910000,,
72705514,,
71050123,-15.8391792,-47.9715778
70804030,-15.7959916,-47.8521272
72210204,-15.8086008,-48.1062057
72865401,-16.0835543,-47.9727261
73015405,-15.6815472,-47.831857
71919700,-15.8310905,-48.0312842
