,lat,lng,bairro,cep,cidade,complemento2,end,uf,unidadesPostagem
79034767,-20.4163795,-54.5871932,Conjunto Habitacional Estrela D'Alva III,79034767,Campo Grande,,Rua Águia Real,MS,[]
52020015,-8.0462005,-34.8943365,Espinheiro,52020015,Recife,- até 929/930,Rua da Hora,PE,[]
25933190,-22.8934613,-43.4790658,Pau Grande (Vila Inhomirim),25933190,Magé,,Rua Santana,RJ,[]
25953090,-22.410327,-42.9680222,Várzea,25953090,Teresópolis,,Rua Heitor de Moura Estevão,RJ,[]
72007360,-18.5827779,-39.7316162,Setor Habitacional Vicente Pires,72007360,Brasília,,Rua 10 Chácara 172,DF,[]
60337170,-3.7135722,-38.5651578,Álvaro Weyne,60337170,Fortaleza,,Rua Francisco Salgado,CE,[]
41810010,-12.9942517,-38.4589828,Pituba,41810010,Salvador,,Rua das Hortênsias,BA,[]
77024068,,,Plano Diretor Sul,77024068,Palmas,,1106 Sul Alameda 13,TO,[]
69918890,-9.9551801,-67.8372332,Residencial Iolanda,69918890,Rio Branco,,Rua Eufrates,AC,[]
49000013,-11.005675,-37.0734552,Zona de Expansão (Aruana),49000013,Aracaju,- até 99999 - lado ímpar,Rodovia dos Náufragos,SE,[]
55153715,-8.3256823,-36.4209366,Gameleira,55153715,Belo Jardim,,Rua José Romildo Cordeiro,PE,[]
53290100,-8.1148137,-35.3074695,Jardim Brasil,53290100,Olinda,,Rua Rio Grande do Norte,PE,[]
85863570,-25.5092817,-54.5503702,Parque Presidente II,85863570,Foz do Iguaçu,,Rua Elgius Rockembach,PR,[]
06130020,-23.6838734,-46.5072987,Santo Antônio,06130020,Osasco,,Rua Imirim,SP,[]
05002040,-23.5289303,-46.67175,Água Branca,05002040,São Paulo,,Rua Dona Ana Pimentel,SP,[]
75901250,-14.460554,-48.4273522,Setor Central,75901250,Rio Verde,,Rua Rui Barbosa,GO,[]
01150011,-23.53475095,-46.6543824432699,Santa Cecília,01150011,São Paulo,- lado ímpar,Praça Marechal Deodoro,SP,[]
13467087,-22.7602774,-47.3287828,Cidade Jardim II,13467087,Americana,,Travessa Avencas,SP,[]
13045560,-22.9333868,-47.0320035,Vila Santa Odila,13045560,Campinas,,Rua Fernão Dias Paes,SP,[]
37713518,,,Santa Teresa,37713518,Poços de Caldas,,Rua Doutor Rowilson Flora,MG,[]
35680058,-20.0703718,-44.5769521,Centro,35680058,Itaúna,,Rua Professor Francisco Santiago,MG,[]
35112000,,,,35112000,Frei Inocêncio,,,MG,[]
89700970,-26.3400117,-48.8507442,Centro,89700970,Concórdia,,Rua Adolfo Konder 72,SC,[]
76952000,,,,76952000,Alto Alegre dos Parecis,,,RO,[]
57258000,,,,,,,,,[]
08577090,-24.2943697,-47.0264626,Vila Gepina,08577090,Itaquaquecetuba,,Rua Dracena,SP,[]
05010010,-23.5153724,-47.4422962,Perdizes,05010010,São Paulo,,Rua Ricardo Severo,SP,[]
23031370,-22.9685773,-43.6048228,Guaratiba,23031370,Rio de Janeiro,,Rua Tefé,RJ,[]
24140169,-22.8933245,-43.0833471,Cubango,24140169,Niterói,,Estrada Viçoso Jardim,RJ,[]
62990970,,,Centro,62990970,Potiretama,,Rua Padre Negreiros 469,CE,[]
38412174,-18.9478538,-48.3055663,Cidade Jardim,38412174,Uberlândia,,Rua dos Miosótis,MG,[]
60870820,-3.8364159,-38.5037187,Jangurussu,60870820,Fortaleza,,Rua Pedro Camelo,CE,[]
30590145,-19.9655511,-43.99232,Betânia,30590145,Belo Horizonte,,Rua Itamar Teixeira,MG,[]
58090839,-7.1384792,-34.909806,Alto do Mateus,58090839,João Pessoa,(Lot Faz Paraíso),Rua Amaro Bezerra,PB,[]
66810070,-1.301351,-48.4834322,Cruzeiro (Icoaraci),66810070,Belém,- até 999/1000,Rua Quinze de Agosto,PA,[]
26012450,-22.7440823,-43.4316473,Engenho Pequeno,26012450,Nova Iguaçu,- até 650/651,Rua Nair Dias,RJ,[]
