,bairro,cep,cidade,complemento2,end,uf,unidadesPostagem
68906806,Cabralzinho,68906806,Macapá,Lot. Parque Irmãos Platon,Via Local Oito,AP,[]
68906660,Alvorada,68906660,Macapá,,Rua Raimundo Banha Corrêa,AP,[]
43820310,Sarandy,43820310,Candeias,,Rua Tobias Barreto,BA,[]
48603360,Clériston Andrade,48603360,Paulo Afonso,,Rua Olavo Bilac,BA,[]
41510230,São Cristóvão,41510230,Salvador,,Avenida Araci,BA,[]
45416970,Centro,45416970,Presidente Tancredo Neves,,Avenida Sete de Setembro 14,BA,[]
40340765,IAPI,40340765,Salvador,(Prq S Martin),Rua Astrozildo Sepúlveda,BA,[]
47820000,,47820000,São Desidério,,,BA,[]
40420230,Ribeira,40420230,Salvador,,Rua Júlio David,BA,[]
45930000,,45930000,Mucuri,,,BA,[]
56380000,,56380000,Santa Maria da Boa Vista,,,PE,[]
45000100,Centro,45000100,Vitória da Conquista,,Praça Laudionor Brasil,BA,[]
40060360,Dois de Julho,40060360,Salvador,,Travessa Salvador Pires,BA,[]
48500970,Centro,48500970,Euclides da Cunha,,Rua Castro Alves 58,BA,[]
46400000,,46400000,Caetité,,,BA,[]
42810200,,,,,,,[]
48903110,Santo Antônio,48903110,Juazeiro,,Rua Leopoldo Celso da Cunha,BA,[]
47200000,,47200000,Remanso,,,BA,[]
48420000,,48420000,Antas,,,BA,[]
40450650,Uruguai,40450650,Salvador,,Rua Bonança,BA,[]
46470000,,46470000,Riacho de Santana,,,BA,[]
41620580,Itapuã,41620580,Salvador,,Rua Boa Vista,BA,[]
44600000,,44600000,Ipirá,,,BA,[]
45822340,Itapuã,45822340,Eunápolis,,Avenida Nossa Senhora dos Navegantes,BA,[]
40050410,Nazaré,40050410,Salvador,- de 376/377 ao fim,Praça Conselheiro Almeida Couto,BA,[]
45810000,,45810000,Porto Seguro,,,BA,[]
46165000,,46165000,Dom Basílio,,,BA,[]
44380000,,44380000,Cruz das Almas,,,BA,[]
46770970,Centro,46770970,Iramaia,,Praça Feliciano Augusto de Souza 62,BA,[]
47520970,Centro,47520970,Ibotirama,,Praça da Bandeira s/n,BA,[]
45300970,Centro,45300970,Amargosa,,Praça Yolanda Avena Pires s/n,BA,[]
44092692,Tomba,44092692,Feira de Santana,,Rua Salmo 31,BA,[]
45602020,Santo Antônio,45602020,Itabuna,,Travessa São João Batista,BA,[]
48603210,Perpétuo Socorro,48603210,Paulo Afonso,,Rua Erocilda Patriota,BA,[]
44420000,,44420000,Maragogipe,,,BA,[]
45603110,Pontalzinho,45603110,Itabuna,,Rua Belo Horizonte,BA,[]
44520970,Centro,44520970,Rafael Jambeiro,,Largo da Liberdade s/n,BA,[]
46820970,Centro,46820970,Bonito,,Praça Benedito Mina 617,BA,[]
44640970,Centro,44640970,Riachão do Jacuípe,,Rua Marechal Castelo Branco s/n,BA,[]
41280015,Marechal Rondon,41280015,Salvador,,Rua Otacílio das Virgens,BA,[]
40715390,Rio Sena,40715390,Salvador,,Rua Lucília Pinto,BA,[]
46770000,,46770000,Iramaia,,,BA,[]
48870000,,48870000,Nordestina,,,BA,[]
47100970,Papagaio,47100970,Barra,,Avenida Rui Barbosa 1098,BA,[]
56800970,Centro,56800970,Afogados da Ingazeira,,Praça Paulo Nelson de Oliveira 01,PE,[]
41100186,Pernambués,41100186,Salvador,,Rua Castro Alves,BA,[]
40100490,Garcia,40100490,Salvador,,Travessa Athayde Seixas,BA,[]
44630970,Centro,44630970,Mairi,,Rua Nilo Rios 30,BA,[]
45602340,Santo Antônio,45602340,Itabuna,,Rua Astrogildo de Almeida,BA,[]
44460970,Centro,44460970,Itaparica,,Praça Tenente Botas s/n,BA,[]
44001001,Centro,44001001,Feira de Santana,- de 821 ao fim - lado ímpar,Rua Carlos Valadares,BA,[]
45455970,Centro,45455970,Itamari,,Rua Donino Rocha Galvão 138,BA,[]
48650000,,48650000,Macururé,,,BA,[]
40330220,IAPI,40330220,Salvador,,Rua Waldir Pires,BA,[]
40285001,Brotas,40285001,Salvador,- de 2 a 99998 - lado par,Avenida Dom João VI,BA,[]
44300000,,44300000,Cachoeira,,,BA,[]
45848970,Centro,45848970,Itabela,,Avenida Pedro Álvares Cabral 284,BA,[]
44755970,Centro,44755970,Ponto Novo,,Praça Leonidas Freire s/n,BA,[]
48350000,,48350000,Aporá,,,BA,[]
45005174,Alto Maron,45005174,Vitória da Conquista,,4ª Travessa Bruno Bacelar,BA,[]
43805330,Centro,43805330,Candeias,,Rua Dom Gerônimo Tomé,BA,[]
41280630,Marechal Rondon,41280630,Salvador,,Rua Joel Lopes,BA,[]
44798970,Centro,44798970,Umburanas,,Praça Florisvaldo Carneiro da Cunha 26,BA,[]
41227250,Calabetão,41227250,Salvador,,Travessa Pedreira,BA,[]
41710430,Boca do Rio,41710430,Salvador,,Travessa Antônio dos Santos,BA,[]
45260000,,45260000,Poções,,,BA,[]
48760000,,48760000,Araci,,,BA,[]
44530970,Centro,44530970,Sapeaçu,,Avenida Doutor Joaquim Barreto de Araújo s/n,BA,[]
44880000,,44880000,Cafarnaum,,,BA,[]
48490970,Centro,48490970,Inhambupe,,Rua João da Silva Nery 410,BA,[]
42700000,,,,,,,[]
40720072,Periperi,40720072,Salvador,,2ª Travessa Antônio Teixeira,BA,[]
41500710,São Cristóvão,41500710,Salvador,,Rua Leste,BA,[]
44790970,Centro,44790970,Campo Formoso,,Rua Padre Bevenuto 11,BA,[]
45611006,Nova Itabuna,45611006,Itabuna,,Rua Bela Vista,BA,[]
43700000,,43700000,Simões Filho,,,BA,[]
45986330,Setor Bahia Sul,45986330,Teixeira de Freitas,,Avenida Presidente Getúlio Vargas,BA,[]
41760110,Costa Azul,41760110,Salvador,,Rua Professor Cassilandro Barbuda,BA,[]
47120970,Centro,47120970,Buritirama,,Avenida Buriti 107,BA,[]
45325970,Centro,45325970,Brejões,,Rua Salvador Vaz 11,BA,[]
41340130,Cajazeiras X,41340130,Salvador,,Caminho 22-Setor 02,BA,[]
44770970,Centro,44770970,Pindobaçu,,Rua Sete de Setembro 34,BA,[]
45700000,,45700000,Itapetinga,,,BA,[]
46580970,Centro,46580970,Tanque Novo,,Avenida Prefeito João Neves s/n,BA,[]
44020072,Baraúna,44020072,Feira de Santana,- até 870 - lado par,Avenida Riachuelo,BA,[]
40352160,Fazenda Grande do Retiro,40352160,Salvador,,Rua Canto da Floresta,BA,[]
45400000,,45400000,Valença,,,BA,[]
44530000,,44530000,Sapeaçu,,,BA,[]
45445970,Centro,45445970,Camamu,,Rua Quintino Bocaiúva 163,BA,[]
46110000,,46110000,Malhada de Pedras,,,BA,[]
45836000,,45836000,Itamaraju,,,BA,[]
44190000,,44190000,Santo Estêvão,,,BA,[]
41350275,Nova Brasília,41350275,Salvador,,Avenida Aliomar Baleeiro,BA,[]
45023190,Jurema,45023190,Vitória da Conquista,,Rua José Pequeno,BA,[]
44034194,Campo Limpo,44034194,Feira de Santana,,Rua Piratuba,BA,[]
45605614,Banco Raso,45605614,Itabuna,,Rua Bela Vista,BA,[]
41925570,Santa Cruz,41925570,Salvador,,Avenida Augusto,BA,[]
41227065,Calabetão,41227065,Salvador,,Rua Nova Divinéia,BA,[]
48570970,Centro,48570970,Santa Brígida,,Praça Jacob Marques da Silva 124,BA,[]
44572080,Centro,44572080,Santo Antônio de Jesus,,Rua Justiniano Rocha Galvão,BA,[]
